City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Hârtieşti,66,RO,1651962629,76,45.1167,25.1,48.9,3.98
Malbork,73,PL,1651962629,93,54.0359,19.0266,51.12,6.33
Kapoeta,59,SS,1651962624,53,4.7717,33.5903,79.83,3.71
Chodavaram,76,IN,1651962630,87,17.8333,82.95,80.26,1.66
Leshukonskoye,32,RU,1651962630,88,64.8989,45.7622,43.34,10.16
Pisco,0,PE,1651962631,73,-13.7,-76.2167,69.85,10.36
Villa Carlos Paz,93,AR,1651962631,10,-31.4241,-64.4978,68.4,3.0
Zaraza,90,VE,1651962632,61,9.3503,-65.3245,81.48,2.89
Ozinki,100,RU,1651962632,53,51.1786,49.6769,44.78,9.35
De Aar,32,ZA,1651962632,76,-30.6497,24.0123,52.12,11.65
Nara,28,JP,1651962446,36,34.6851,135.8049,59.5,6.15
Nioro,7,GM,1651962634,35,13.35,-15.75,84.11,5.97
Bud,52,US,1651962635,48,39.447,-86.1758,68.2,12.91
Srandakan,91,ID,1651962635,88,-7.9386,110.2506,77.11,3.38
Kimbe,6,PG,1651962636,70,-5.5502,150.1429,85.19,1.92
Deputatsky,57,RU,1651962636,79,69.3,139.9,12.34,3.49
Vallenar,100,CL,1651962637,71,-28.5708,-70.7581,60.98,4.59
Hamilton,100,US,1651962467,71,39.1834,-84.5333,62.04,12.66
Devarkonda,79,IN,1651962637,52,16.7,78.9333,87.94,3.8
Kulhudhuffushi,97,MV,1651962637,75,6.6221,73.07,84.43,11.97
Guerrero Negro,20,MX,1651962442,62,27.9769,-114.0611,68.76,18.32
Pitimbu,97,BR,1651962638,81,-7.4706,-34.8086,77.59,7.78
Mana,76,GF,1651962483,89,5.6592,-53.7767,77.56,7.67
Lompoc,0,US,1651962639,64,34.6391,-120.4579,80.56,28.77
Evensk,96,RU,1651962639,97,61.95,159.2333,32.7,6.51
Long Beach,0,US,1651962640,71,33.767,-118.1892,82.85,14.97
Kahului,20,US,1651962565,65,20.8947,-156.47,82.42,23.02
Baykit,100,RU,1651962640,85,61.67,96.37,30.78,12.24
Belo Oriente,10,BR,1651962640,94,-19.22,-42.4836,68.77,1.21
Nikolskoye,100,RU,1651962641,94,59.7035,30.7861,53.49,8.55
Vodyane,25,UA,1651962641,67,47.4875,34.4924,51.42,7.74
Hazorasp,65,UZ,1651962642,46,41.3194,61.0742,67.84,7.18
Ponta do Sol,45,PT,1651962540,71,32.6667,-17.1,63.23,7.2
